GP,F,A,GD,P
38,42,49,-7,44
38,47,51,-4,52
38,38,72,-34,30
34,46,48,-2,47
34,45,55,-10,45
38,52,54,-2,45
38,49,57,-8,48
34,30,39,-9,46
38,36,46,-10,45
38,42,54,-12,45
38,47,54,-7,55
42,64,40,24,68
38,33,55,-22,39
34,51,41,10,55
34,29,51,-22,31
42,39,47,-8,54
38,48,59,-11,44
38,59,52,7,63
34,47,27,20,61
38,29,58,-29,30
37,33,42,-9,42
30,27,49,-22,24
38,64,45,19,68
34,27,45,-18,36
38,52,44,8,53
38,42,36,6,52
34,54,49,5,51
34,43,50,-7,46
42,54,69,-15,52
42,51,36,15,72
38,34,60,-26,34
34,34,75,-41,22
38,61,42,19,61
38,47,48,-1,53
42,35,51,-16,52
42,47,36,11,64
